layer,strip,end,multiplier,mpv,eta,sigma,A
19,2,0,10,-999.0,-999.0,-999.0,-999.0
19,3,0,10,557.7547967972858,40.26073862557949,79.25267423603445,2032.3871763282355
19,4,0,8,606.5666861053616,48.56812769906168,89.40182575795666,3310.3095794102683
19,5,0,6,607.8318286847691,53.964658633201545,67.77620111708534,4325.547066278823
19,6,0,6,595.5902676305099,52.325725247323795,108.96987548924834,2557.447698748773
19,7,0,10,632.2198111589458,52.42999964614181,90.78462121821181,1467.9601569241065
19,8,0,10,568.2361651178215,54.12939019167755,78.36267810502758,688.2193221438159
19,9,0,10,626.7680897194306,61.04201849284932,95.40222117914125,380.4490860157167
19,10,0,10,544.2214007014977,49.362845972727555,69.72755004687548,307.6138706350123
19,11,0,12,650.7068388860074,61.5496957718599,131.91906895189308,132.01663691374713
12,0,1,12,611.5047178091504,42.17485191268102,162.32157891455554,155.61865462355095
12,1,1,8,629.465288413569,58.742483394905726,114.24558045708412,455.5662827271465
12,2,1,8,602.2556678412543,58.737013965877196,103.15928865599872,799.8428801083329
12,3,1,10,567.6332876885607,56.20751738894098,98.79268755545803,1290.7455739287827
12,4,1,8,635.1891221394241,58.23954707010421,92.51318138621625,3146.043722082123
12,5,1,10,558.7815918416502,52.421509070769616,82.29610790683248,4431.870599349064
12,6,1,10,563.7108553896129,67.47664929754616,63.07176668179854,3133.8050743737053
12,7,1,10,580.7629012719423,55.089395899835566,100.1685886205951,1651.1501664699103
12,8,1,10,626.3908474626953,59.74833597254541,119.1805677673138,604.6845533203298
12,9,1,8,602.0868857859414,79.20725700513742,7.097113040154583,451.2766153089896
12,10,1,10,644.6438163275895,59.89496088474242,119.5837146971292,268.1162541830806
12,11,1,10,596.1311943965911,55.36270742912188,147.2868869703032,140.36135869187402
13,0,1,10,683.6986311833857,54.00159036805591,156.24444621384148,182.35997302687727
13,1,1,10,636.8208827846453,54.85223261437615,110.91659204565441,494.3227082459334
13,2,1,10,714.416963417828,60.62512376842042,121.18478633758762,700.8404062358286
13,3,1,10,668.6844890583459,57.13929603293839,115.03239030238738,1455.7320065495821
13,4,1,10,643.6926827299238,64.44437597189685,75.12653107041355,3315.5669693358004
13,5,1,10,664.2107913310346,59.915431267432346,102.12412467284801,3621.787381291544
13,6,1,10,656.5575375840866,59.90968466337498,101.49593839720379,2639.8650338777607
13,7,1,10,583.8761752672265,60.59074152560448,92.8298474936141,1414.8194229084133
13,8,1,10,572.654043275689,55.587937918264565,103.54215789260756,613.2116325875778
13,9,1,10,590.9445998422349,54.65953407130757,115.31485602053223,374.6170333602682
13,10,1,10,584.1448439807336,45.67640208664393,118.78561663970267,244.92465851973438
13,11,1,12,592.9734163190924,44.27801067280734,164.7868636093196,120.06234939580106
14,0,1,10,518.3744598855708,41.92169974967452,134.60608496960802,187.217386444897
14,1,1,10,583.3838113063432,50.23483111342838,104.3929776707975,522.8069259191832
14,2,1,10,567.8503637270346,51.658717019801635,99.61821104597857,857.0389888857686
14,3,1,8,577.7170426715239,74.19224196366082,16.349257143915427,1379.5860680158216
14,4,1,10,521.8609363399728,48.92627794594777,82.39388820770868,3596.4926081290487
14,5,1,10,597.932781916002,55.98901160011138,93.5288416988884,3946.3969235538366
14,6,1,8,580.7223998103518,53.83260669515255,94.40180272700714,2992.122893556016
14,7,1,10,560.4092528469716,70.8691438096462,7.637430106988448,1796.8335046303957
14,8,1,10,529.2389953658352,59.84126018093269,40.48404634580611,869.465163216924
14,9,1,8,485.7634521626115,43.6122126430409,60.48381903010502,667.5816657748643
14,10,1,10,570.7789848885569,56.75240965600105,75.19411916263924,335.8652622901891
14,11,1,10,518.7913453966036,38.60074165964728,93.55991256641865,200.20759261336985
15,0,1,10,615.8109089474461,65.78443060248118,78.82898077810883,239.77618397818483
15,1,1,10,615.6664891623365,73.46690237368286,6.461028223819268,567.2066816863364
15,2,1,10,712.1307590269691,56.44994307929115,143.497715032828,664.3409621265222
15,3,1,8,611.8038676523582,62.709867216406685,90.4236051896355,1569.624607840921
15,4,1,10,661.7205616737158,68.63289676375202,91.4378899991809,2961.3015873352833
15,5,1,10,651.6109952304222,61.68163658721296,106.85817856823013,3496.101118096542
15,6,1,8,723.5154702521363,62.55330147263574,122.96787227301262,2356.293336537924
15,7,1,10,647.1781659169822,62.15204016753096,111.41686884690456,1276.975315981163
15,8,1,10,643.0179014838142,54.778938394266795,142.433154382795,523.9759787410649
15,9,1,8,687.4357766701294,60.41399375559872,143.98070046401472,319.75804762062654
15,10,1,10,633.7656654795959,56.08935757598436,104.58385674138624,244.16628572535015
15,11,1,10,600.9313029643776,78.65284537930258,11.508430396973399,156.60076556199468
16,0,1,10,602.0128042699846,49.65911773708221,91.48906036778631,214.48600975913598
16,1,1,10,595.3757139562994,59.0143742782464,76.3347344832649,543.9862039755326
16,2,1,10,640.7908899025692,61.51206752420394,74.62905960555435,847.1455536903879
16,3,1,8,603.5996958118591,66.67152911511161,8.02759174117275,1505.2269706007746
16,4,1,10,487.7554389007874,47.52551989533144,102.03394602978442,3196.7272401128166
16,5,1,10,555.2007663600817,52.40819505395646,68.48479618197925,4467.075251785861
16,6,1,8,576.0151245152385,47.58416315914897,100.03439012617689,2910.866441444243
16,7,1,10,579.6882568446304,70.36065207783584,16.842765454629138,1845.4809939912939
16,8,1,10,591.7778377789094,56.04456214956971,80.0724869540089,718.8196136500371
16,9,1,8,571.2422881133152,63.686729389557605,56.97686780357145,476.13541371692276
16,10,1,10,709.6313343963407,58.69194382107203,137.66183705694993,251.1550685143212
16,11,1,10,693.2352751159866,56.23294283713472,152.78154694728684,138.0460622138693
