layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample,pedestal_per_time_sample_mean,pedestal_per_time_sample_std_dev
10,11,0,760,8.007184720804782,10.604666067455364,95,95.62584598045787,1.2994069679984277
10,11,1,760,-3.5893210168127503,10.122468684825217,95,94.52681864609299,1.0495816255821824
11,0,0,840,6.1975774505718935,11.951656337678553,105,105.55641780779435,1.8432063824520097
11,0,1,760,-4.35195612645903,11.03472033727025,95,94.44578937530906,1.0450620405076487
11,1,0,760,-4.388226911285687,11.052872443150015,95,94.35476227035878,1.2858140546601198
11,1,1,840,3.3650330808610005,10.642206826402562,105,105.3953042452401,1.7618455456806408
11,2,0,808,0.1635351199973949,10.693888621769464,101,101.00188469930367,1.8387793063516231
11,2,1,760,-1.756252442360297,11.241214347693095,95,94.76013566315527,1.3159284789410368
11,3,0,840,-3.6202719326642927,15.037578121804309,105,104.43420338758489,1.6835960769695717
11,3,1,808,-2.71599704884931,14.894453819418127,101,100.62328156324563,1.6589970110100416
11,4,0,728,9.363522181850804,15.931515956949486,91,91.90333627629387,1.6340391263628293
11,4,1,824,10.251317904811755,15.216582290534994,103,103.85683616966374,1.3566364988764283
11,5,0,728,7.909897090385931,16.236436030476643,91,91.58395299154596,1.38557055302001
11,5,1,856,-2.213832317409315,17.571340429245662,107,106.58337423508578,1.8709401297128803
11,6,0,760,-8.081083348480822,12.501983677756405,95,93.84515790162473,1.6010571548629495
11,6,1,840,5.931158635057572,13.446291456301465,105,105.66748609891718,2.0300614206329106
11,7,0,856,1.0682562295368774,14.6027749424903,107,107.04028348137201,1.949611722756371
11,7,1,808,-5.869408396469382,16.15092696240287,101,100.42963131231245,1.9018882502226302
11,8,0,760,16.722637604526803,12.608256610715394,95,96.180396631328,1.3078436365027317
11,8,1,808,0.6529459965429175,12.213579143835716,101,101.01176697625108,1.4107497701497977
11,9,0,824,-8.117910871080962,10.43785279135762,103,101.98547271880486,1.958239795346169
11,9,1,840,-1.9363318895986101,10.733370331166075,105,104.74347284242344,1.70810827338704
11,10,0,824,7.914749630045565,10.626576242737828,103,103.76612241352578,1.36728506015715
11,10,1,760,21.02952582047038,12.388978086742483,95,96.35916925675154,1.3350114660965577
11,11,0,856,1.1590758960149186,10.959207365710583,107,107.18618415616996,1.8507259631780626
11,11,1,760,17.601193747150088,12.185512586590635,95,96.07277934756337,1.387149861423062
12,0,0,760,-9.660348270908518,10.55596865395202,95,94.37292049300463,1.2463137838647906
12,0,1,824,-3.830235505024847,11.962129463806455,103,102.91798349372593,1.615437499285266
12,1,0,760,25.3366059240449,12.82023085192137,95,95.89990272494083,1.4558988199562486
12,1,1,760,-1.123274608434453,12.072528418990931,95,94.70780256265493,1.3107411373455873
12,2,0,792,5.710004694749807,12.952078447230532,99,99.79627367002196,1.4072905103717037
12,2,1,728,3.1403181455128557,12.88119959410982,91,91.26097028959752,1.6106883981230888
12,3,0,856,-4.677656576331748,14.122676354802032,107,106.34728719810505,2.602596502308757
12,3,1,760,-8.02801028846698,13.096576315327844,95,94.37727743485227,1.2224019315524357
12,4,0,760,6.644639419784149,16.658178567121467,95,95.05528996351002,1.3395189697483016
12,4,1,760,23.51033452850743,16.614198806558615,95,95.71189365817409,1.4833473786538232
12,5,0,792,5.682034600705422,17.747194256482352,99,99.30322530297853,2.4769222513272715
12,5,1,856,4.438074775042478,15.651915422137298,107,107.43568111954586,2.2201331780066758
12,6,0,760,-14.245328665556647,16.266202579478602,95,94.14752269699129,1.1744528957183216
12,6,1,760,2.541307642500872,15.937046613058953,95,94.91115208246828,1.3097114294567713
12,7,0,760,-14.473535217120299,14.374178295547758,95,93.47218498505772,1.6940134574465997
12,7,1,760,-12.308325322802734,15.147142412306417,95,94.27447725300138,1.198787328451879
12,8,0,856,5.40166526584391,13.048653072686246,107,107.37080413546092,1.6165799175928632
12,8,1,728,3.27857544449348,13.680404667865712,91,91.2712430272826,1.5750271380297074
12,9,0,728,-6.820445031945362,12.630923483783697,91,90.75151841253536,1.534823036886203
12,9,1,808,-5.831594865566431,12.892737552615626,101,100.59406400259088,1.6549369011671937
12,10,0,824,10.615175528590465,11.392634857290385,103,103.71495383642619,1.5732832768761793
12,10,1,888,-14.621421496957977,11.005969662842377,111,109.64483526595328,1.8945658856089613
12,11,0,728,7.032720230074144,10.872771832086325,91,91.53270213226062,1.5831375178068592
12,11,1,760,-9.701740672468908,9.65783710686791,95,94.38071203981461,1.1661989373527006
13,0,0,728,-2.661197159996251,11.17791113989671,91,90.94677197576577,1.5532588485357521
13,0,1,808,-4.194596431207602,11.761468678205448,101,100.70551330495368,1.6261736187546667
13,1,0,760,9.422472863261905,11.927905712410055,95,95.32266551826673,1.3713956517095487
13,1,1,760,-11.774298359304542,11.042989602153787,95,94.14860399286721,1.109479555790282
13,2,0,760,20.451991787948753,13.799824601790068,95,95.68995254025879,1.4381200721614593
13,2,1,760,6.888872643980652,13.313524282302216,95,95.13468498712774,1.3384301110870611
13,3,0,856,8.40800567229599,13.353780852102927,107,107.51342539992426,1.605295965134727
13,3,1,792,11.949660644421098,13.637358118897174,99,99.92641475408448,1.3989244269138432
13,4,0,760,14.602971391272744,15.409239829187909,95,95.4384201237952,1.5550724447581814
13,4,1,808,-0.8787213528146555,13.970560811765845,101,100.9417792028689,1.6758747811849237
13,5,0,824,5.148687518223441,13.59470386953838,103,103.47097478310523,2.155054662029683
13,5,1,824,-4.9668153448493255,13.641958195807554,103,102.67122232517929,2.172071598059433
13,6,0,760,12.263537093324327,13.04155396696653,95,95.35658175252208,1.5033928412118907
13,6,1,760,-4.074098568262567,11.576327855386362,95,94.66374101517027,1.417498299196249
13,7,0,840,-6.71214245741557,12.274945831844263,105,104.48979902944689,2.342768195596963
13,7,1,840,-5.043605656474198,12.08362581687305,105,104.48681672338593,2.8051498554838608
13,8,0,808,-4.239819086386251,10.899005932447645,101,100.8254622008958,1.6864306396177495
13,8,1,856,-7.874204733906226,9.959471591915207,107,106.73719436199347,1.5787593307951495
13,9,0,760,14.07512272819123,10.28397225768935,95,95.50550942254114,1.4421779244123385
13,9,1,824,1.2894126876582392,9.6527073896686,103,103.23076689139744,1.6412052963900619
13,10,0,712,1.0966778539241457,10.533345106307522,89,89.02270557301556,1.6785837441401128
13,10,1,760,-8.4819954350492,10.005930331458764,95,94.48555270493387,1.3542526950572111
13,11,0,760,-19.39000218611091,9.971807187874212,95,94.04076546959118,1.3009033048644882
13,11,1,872,-10.15016505257635,9.257443322045184,109,108.5724848125135,1.6542364846471749
14,0,0,760,-8.224547189197123,9.643194439155089,95,94.54175462494462,1.32580246472549
14,0,1,872,-4.575848666674495,9.987023981095954,109,108.86546938516852,1.6683316621975017
14,1,0,760,20.58906274410835,11.229219941322778,95,95.73501912743758,1.5478111522211604
14,1,1,808,3.795090881778579,10.549259457630372,101,101.25533447156971,1.6536230858621292
14,2,0,760,-0.4519325944301199,10.96551895720216,95,94.84808219560767,1.3297215731532834
14,2,1,728,4.284713990688353,10.312197647259445,91,91.47636220129552,1.6183336028316506
14,3,0,792,-5.993031821979191,11.524734009413052,99,99.30210409497292,1.4122044677299768
14,3,1,760,-5.695748208906104,10.51894496768214,95,94.66233575154146,1.391469820415574
14,4,0,840,-4.996589628161773,15.303684233854913,105,104.58085519952286,2.1670143470741707
14,4,1,808,4.145713239675236,13.195432597853909,101,101.26494103176326,1.6287970783990926
14,5,0,728,-0.7363032167407239,13.691905592340945,91,91.0971839278911,2.279808839601558
14,5,1,824,-4.692460769569642,13.339819892350985,103,102.90120570931765,1.5687884006016677
14,6,0,760,-4.773803704884355,14.653378396520962,95,94.66997547643116,1.3913738635599984
14,6,1,840,-2.965984805035722,15.172180946456422,105,104.77154046203523,2.1928399458923487
14,7,0,808,3.163311851219528,12.496180290591388,101,101.1587406564854,1.6143886250332826
14,7,1,856,-5.96018817764804,11.609647425772426,107,106.85489253166149,1.6418572259291468
14,8,0,808,-5.227798738341734,12.709990002563407,101,100.48035899206076,1.7265622507796716
14,8,1,824,-1.133592118131437,11.110320346976506,103,102.91611302004713,1.4062054250935492
14,9,0,744,-3.551424257555223,11.2968966444231,93,92.69067729902876,1.5672674729282265
14,9,1,728,-2.3214905606543343,10.208193810839424,91,90.81743523352058,1.4610784809968662
14,10,0,824,5.414552504876569,10.393847523096406,103,103.49640984102828,1.485455462965258
14,10,1,760,-4.665262128141059,8.263142389391337,95,94.51518638822952,1.0791357828610133
14,11,0,856,-2.947609741869622,9.82135797036454,107,106.74002244219132,1.4759929604539432
14,11,1,728,4.978806563956574,9.000575239881632,91,91.48223820170404,1.4308328910537067
15,0,0,744,2.229699382582132,8.739399460180229,93,93.30695848833211,1.4583561188552443
15,0,1,760,27.79806017674206,31.459074277461507,95,95.26599062600411,1.4882067925975757
15,1,0,824,0.8420404846688813,10.396643951225021,103,103.08621201990937,1.4699000029553704
15,1,1,744,-2.5011621445600283,9.178768084449748,93,92.79254093747909,1.4789060061471095
15,2,0,760,-8.449912865447189,9.875615638836708,95,94.01385907159029,1.5029178808545407
15,2,1,840,1.415754230110711,12.453067229423485,105,105.07623068769755,1.8992960979334699
15,3,0,728,-3.547388245006417,11.865078018890753,91,90.79486094956117,1.4680890558861928
15,3,1,856,0.04082791003669997,11.714268490589948,107,106.99636447879004,1.8561075998858672
15,4,0,856,-5.0339347680338316,13.440708922187351,107,106.3513082792397,1.889342748954567
15,4,1,728,7.985104218874377,13.21814873109813,91,91.64870148656813,1.439494691461045
15,5,0,760,9.492800399154914,13.287105127037345,95,95.51417256090913,1.2511795757094635
15,5,1,808,-1.3589531766319596,14.800988071232629,101,100.84137291863023,1.7901697105376986
15,6,0,744,1.9659251621533125,12.123989427634914,93,93.18499400806593,1.5070648117039713
15,6,1,824,15.118826364991572,13.852168071820648,103,104.00812540902662,1.4497098849798964
15,7,0,744,-1.0655585406884778,10.351668943078927,93,92.96122790275165,1.5224676473607315
15,7,1,856,-3.025113925957543,11.52247667679256,107,106.67271898670012,1.9248042746247973
15,8,0,760,-5.503840704896375,10.613353543078398,95,94.47881815002175,1.1108631036935086
15,8,1,792,-0.9195095120230536,13.444646025583554,99,99.37929115340549,1.3516875230715215
15,9,0,728,-8.232554847006496,9.210099683306279,91,90.34440751722519,1.274444263605157
15,9,1,760,-2.5015455038814562,9.431002644300134,95,94.6881953724726,1.0669537410052796
15,10,0,760,-10.438908021446656,9.244415609412593,95,94.16281765166043,1.046883743645321
15,10,1,728,8.951452563622755,10.268384295102138,91,91.82674103092252,1.4355651642013474
15,11,0,840,0.4247762896075032,11.118139162985676,105,104.93314177948922,1.5594386339846296
15,11,1,728,-0.37306685285390123,9.929075396786562,91,91.02731675862624,1.4333911844572198
16,0,0,760,-2.7087064647573236,8.113144251175607,95,94.69118185200671,1.1084479957807145
16,0,1,712,7.356769632254637,9.977651619346647,89,89.88391052649608,1.6896096626938897
16,1,0,760,-2.824957395335534,8.409035199541355,95,94.66649690842115,1.0640031874414324
16,1,1,808,-3.4967553169301544,10.401802274584526,101,100.60737252977309,1.602573293324985
16,2,0,824,0.6015021589734233,10.90385560030489,103,103.04576441672008,1.4113125454932458
16,2,1,760,19.42379344950278,11.457469173171852,95,96.43521750096947,1.3715421404803336
16,3,0,784,-2.979027824842803,12.295765013273279,98,97.55954875883208,1.8452798567733393
16,3,1,744,-5.189964787627339,12.254265957710139,93,92.32356683064812,1.6045998514606774
16,4,0,760,18.65295884094273,14.805794822554391,95,96.26533698064728,1.3865998841137939
16,4,1,792,-6.22567670321705,16.011548595346763,99,98.71685364866467,1.249436740045424
16,5,0,792,-5.653407216340241,14.637735916161144,99,98.80366408690459,1.3246582690781774
16,5,1,824,-3.751361243193784,13.147136160531751,103,102.58569230674426,1.3513455536728822
16,6,0,760,2.047614360935556,13.280765229850077,95,95.0368833706799,1.129297278683576
