,layer,strip,pedestal_end0,std_dev_end0,pedestal_per_time_sample_end0,pedestal_per_time_sample_std_dev_end0,pedestal_end1,std_dev_end1,pedestal_per_time_sample_end1,pedestal_per_time_sample_std_dev_end1
91,11,7,856,14.6027749424903,107,1.949611722756371,808,16.15092696240287,101,1.9018882502226304
92,11,8,760,12.608256610715394,95,1.3078436365027315,808,12.213579143835716,101,1.4107497701497975
93,11,9,824,10.43785279135762,103,1.958239795346169,840,10.733370331166077,105,1.70810827338704
94,11,10,824,10.626576242737828,103,1.36728506015715,760,12.388978086742483,95,1.3350114660965575
95,11,11,856,10.959207365710585,107,1.8507259631780624,760,12.185512586590637,95,1.387149861423062
96,12,0,760,10.55596865395202,95,1.2463137838647906,824,11.962129463806455,103,1.615437499285266
97,12,1,760,12.82023085192137,95,1.4558988199562486,760,12.072528418990933,95,1.3107411373455873
98,12,2,792,12.952078447230532,99,1.4072905103717035,728,12.88119959410982,91,1.6106883981230888
99,12,3,856,14.122676354802032,107,2.602596502308757,760,13.096576315327844,95,1.2224019315524357
100,12,4,760,16.658178567121467,95,1.3395189697483016,760,16.614198806558615,95,1.4833473786538232
101,12,5,792,17.747194256482352,99,2.4769222513272715,856,15.651915422137298,107,2.220133178006676
102,12,6,760,16.266202579478602,95,1.1744528957183216,760,15.937046613058952,95,1.309711429456771
103,12,7,760,14.374178295547758,95,1.6940134574465997,760,15.147142412306415,95,1.198787328451879
104,12,8,856,13.048653072686246,107,1.6165799175928632,728,13.680404667865712,91,1.5750271380297074
105,12,9,728,12.630923483783697,91,1.534823036886203,808,12.892737552615626,101,1.6549369011671935
106,12,10,824,11.392634857290384,103,1.5732832768761793,888,11.005969662842377,111,1.894565885608961
107,12,11,728,10.872771832086324,91,1.5831375178068592,760,9.65783710686791,95,1.1661989373527006
108,13,0,728,11.17791113989671,91,1.553258848535752,808,11.761468678205448,101,1.6261736187546667
109,13,1,760,11.927905712410055,95,1.3713956517095487,760,11.042989602153789,95,1.109479555790282
110,13,2,760,13.799824601790068,95,1.438120072161459,760,13.313524282302216,95,1.3384301110870611
111,13,3,856,13.353780852102927,107,1.605295965134727,792,13.637358118897174,99,1.3989244269138432
112,13,4,760,15.409239829187907,95,1.5550724447581814,808,13.970560811765845,101,1.6758747811849235
113,13,5,824,13.59470386953838,103,2.155054662029683,824,13.641958195807554,103,2.172071598059433
114,13,6,760,13.04155396696653,95,1.5033928412118909,760,11.576327855386362,95,1.417498299196249
115,13,7,840,12.274945831844263,105,2.342768195596963,840,12.08362581687305,105,2.8051498554838608
116,13,8,808,10.899005932447643,101,1.6864306396177495,856,9.959471591915207,107,1.5787593307951495
117,13,9,760,10.28397225768935,95,1.4421779244123385,824,9.6527073896686,103,1.641205296390062
118,13,10,712,10.533345106307522,89,1.6785837441401128,760,10.005930331458764,95,1.3542526950572111
119,13,11,760,9.971807187874212,95,1.3009033048644882,872,9.257443322045184,109,1.6542364846471749
120,14,0,760,9.643194439155089,95,1.32580246472549,872,9.987023981095954,109,1.6683316621975015
121,14,1,760,11.229219941322778,95,1.5478111522211604,808,10.549259457630372,101,1.6536230858621292
122,14,2,760,10.96551895720216,95,1.3297215731532834,728,10.312197647259444,91,1.6183336028316506
123,14,3,792,11.524734009413052,99,1.4122044677299768,760,10.51894496768214,95,1.391469820415574
